"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";
"C1";"68uF";"OSCON-50SVPF68M";"OS-CON-SVPF-F12";"";"";"";"";
"C2";"4.7uF";"AVX-LD105C475KAB2A";"MLCC-X7R-1210";"";"";"";"";
"C3";"10uF";"C-USC1210K";"C1210K";"CAPACITOR, American symbol";"";"";"";
"C4";"10uF";"C-USC1210K";"C1210K";"CAPACITOR, American symbol";"";"";"";
"C5";"68uF";"OSCON-50SVPF68M";"OS-CON-SVPF-F12";"";"";"";"";
"H1";"MOUNT-PAD-ROUNDCSK_MTG_HOLE_A5";"MOUNT-PAD-ROUNDCSK_MTG_HOLE_A5";"CSK_MOUNTING_HOLE";"MOUNTING PAD, round";"";"";"";
"H2";"MOUNT-PAD-ROUNDCSK_MTG_HOLE_A5";"MOUNT-PAD-ROUNDCSK_MTG_HOLE_A5";"CSK_MOUNTING_HOLE";"MOUNTING PAD, round";"";"";"";
"H3";"MOUNT-PAD-ROUNDCSK_MTG_HOLE_A5";"MOUNT-PAD-ROUNDCSK_MTG_HOLE_A5";"CSK_MOUNTING_HOLE";"MOUNTING PAD, round";"";"";"";
"HBL";"MOUNT-PAD-ROUNDCSK_MTG_HOLE_A5";"MOUNT-PAD-ROUNDCSK_MTG_HOLE_A5";"CSK_MOUNTING_HOLE";"MOUNTING PAD, round";"";"";"";
"J1";"2 x ESQ-126-39-G-D";"CSK-BUS-CONN2X2X26";"CSK-BUS-PKG";"Cubesat Kit Bus Connector";"";"";"";
"J2";"M80-6810642";"M80-6810642";"M80-68106";"";"";"";"";
"J3";"AMPMODU 5X2 SMT HDR";"AMPMODU-5-146131-X(5X2)";"AMPMODU-SMT-PIN-HEADER-5X2";"";"";"";"";
"J4";"M80-6811242";"M80-6811242";"M80-68112";"";"";"";"";
"J5";"M80-6811242";"M80-6811242";"M80-68112";"";"";"";"";
"L1";"33 uH";"MSS1038-333ML_";"MSS1048";"";"";"";"";
"L2";"330 uH";"MSS1048-334KL_";"MSS1048";"";"";"";"";
"L3";"10 uH";"ELL-5PS100M";"SERIES-POWER-INDUCTORS";"";"PANASONIC";"ELL5PS100M";"1717452";
"OK1";"PS2501L-4";"PS2501L-4";"PS2501L-4";"";"";"";"";
"OK2";"PS2501L-4";"PS2501L-4";"PS2501L-4";"";"";"";"";
"OK3";"PS2501L-4";"PS2501L-4";"PS2501L-4";"";"";"";"";
"Q1";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"";"";
"Q2";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"";"";
"Q3";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"";"";
"Q4";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"";"";
"Q5";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"";"";
"Q6";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"";"";
"Q7";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"";"";
"Q8";"SI5404BDC";"SI5404BDC";"1206-8-CHIPFET";"";"";"";"";
"R1";"3K79";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";
"R2";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";
"R3";"70 mOhms";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";
"R4";"4k7 0.1%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";
"R5";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";
"R6";"604R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";
"R7";"5K42";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";
"R8";"5K42";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";
"R9";"5K42";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";
"R10";"5K42";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";
"R11";"5K42";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";
"R12";"5K42";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";
"R13";"5K42 0.1%";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";
"R14";"5K42 0.1%";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";
"R15";"R-US_R0402";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";
"R16";"100K 0.1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";
"R17";"100K 0.1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";
"R18";"100K 0.1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";
"R19";"100K 0.1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";
"R20";"100K 0.1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";
"R21";"100K 0.1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";
"R22";"100K 0.1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";
"R23";"51K 0.1%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";
"R24";"51K 0.1%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";
"R25";"51K 0.1%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";
"R26";"51K 0.1%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";
"R27";"51K 0.1%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";
"R28";"51K 0.1%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";
"R29";"51k 0.1%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";
"R30";"51k 0.1%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";
"R31";"0.1R 1% PTC";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";
"R32";"0.1R 1% PTC";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";
"R33";"0.1R 1% PTC";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";
"R34";"0.1R 1% PTC";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";
"SJ1";"0R";"SJ";"SJ";"SMD solder JUMPER";"";"";"";
"SJ2";"0R";"SJ";"SJ";"SMD solder JUMPER";"";"";"";
"SJ3";"0R";"SJ";"SJ";"SMD solder JUMPER";"";"";"";
"SJ4";"0R";"SJ";"SJ";"SMD solder JUMPER";"";"";"";
"U1";"LTM4609MPV#PBF";"LTM4609MPV#PBFROHS/HITEMP";"LGA-141-LTC-05-08-1840-B";"Per LTC Datasheet 4609fe LTM4609 (c) Samudra Haque, N3RDX, 2/23/2014";"";"";"";
"U2";"UCAT-4CU-B-CONTROL-UNITNANO55415";"UCAT-4CU-B-CONTROL-UNITNANO55415";"MOLEX-MINI-PCI-EXPRESS-8MM-52CKT";"";"";"";"";
"U3";"LT1161ISW";"LT1161ISW";"20-LEAD-PLASTIC-SO";"";"";"";"";
"U4";"LT1161ISW";"LT1161ISW";"20-LEAD-PLASTIC-SO";"";"";"";"";
