##########################################################################
       Name: Placement Bill of Materials Generator

    Version: 2
         By: Small Batch Assembly
        URL: www.smallbatchassembly.com
 SourceFile: mcat-4cu-b-v2g.brd
   DateTime: 6/2/2014 3:10:50 PM
      Units: inches
##########################################################################
REF,PACKAGE,VALUE,X,Y,ROTATION,
C1   , OS-CON-SVPF-F12            , 68uF     , 0.2909, 2.4742, 0.0
C2   , MLCC-X7R-1210            , 4.7uF     , 0.7306, 1.8159, 180.0
C3   , C1210K            , 10uF     , 1.1063, 0.8150, 0.0
C4   , C1210K            , 10uF     , 1.1073, 0.6786, 0.0
C5   , OS-CON-SVPF-F12            , 68uF     , 0.4444, 0.4728, 45.0
FID1   , FIDUCIAL_1MM            , FIDUCIAL     , 3.3290, 0.4320, 0.0
FID2   , FIDUCIAL_1MM            , FIDUCIAL     , 0.3500, 3.3290, 0.0
FID3   , FIDUCIAL_1MM            , FIDUCIAL     , 3.2500, 3.3290, 0.0
J2   , M80-68106            , M80-6810642     , 1.4614, 1.5765, 0.0
J3   , AMPMODU-SMT-PIN-HEADER-5X2            , AMPMODU5X2SMTHDR     , 2.4224, 0.5125, 0.0
J4   , M80-68112            , M80-6811242     , 1.5201, 0.5054, 0.0
J5   , M80-68112            , M80-6811242     , 1.5240, 0.8993, 0.0
J6   , AMPMODU-SMT-PIN-HEADER-5X2            , AMPMODU5X2SMTHDR     , 2.9710, 0.5150, 0.0
L1   , MSS1048            , 33uH     , 0.1136, 1.7166, 0.0
L2   , MSS1048            , 330uH     , 0.1155, 0.9923, 0.0
L3   , SERIES-POWER-INDUCTORS            , 10uH     , 0.8458, 0.7572, 0.0
OK1   , PS2501L-4            , PS2501L-4     , 3.4385, 1.5298, 270.0
OK2   , PS2501L-4            , PS2501L-4     , 2.5897, 1.5261, 270.0
OK3   , PS2501L-4            , PS2501L-4     , 2.3363, 0.3853, 90.0
Q1   , 1206-8-CHIPFET            , SI5404BDC     , 0.9252, 0.4451, 0.0
Q2   , 1206-8-CHIPFET            , SI5404BDC     , 1.1056, 0.2487, 180.0
Q3   , 1206-8-CHIPFET            , SI5404BDC     , 0.7942, 0.4442, 0.0
Q4   , 1206-8-CHIPFET            , SI5404BDC     , 0.9715, 0.2487, 180.0
Q5   , 1206-8-CHIPFET            , SI5404BDC     , 1.1773, 0.4470, 0.0
Q6   , 1206-8-CHIPFET            , SI5404BDC     , 0.8394, 0.2497, 180.0
Q7   , 1206-8-CHIPFET            , SI5404BDC     , 1.0562, 0.4460, 0.0
Q8   , 1206-8-CHIPFET            , SI5404BDC     , 0.6844, 0.2497, 180.0
R1   , R0805            , 3K79     , 1.2669, 1.1800, 0.0
R2   , R0805            , 1K     , 1.4361, 1.1801, 0.0
R3   , R1206            , 70mOhms     , 0.8791, 1.6303, 0.0
R4   , R0603            , 4k70.1%     , 1.1912, 1.0524, 0.0
R5   , R0805            , 1K     , 2.9676, 1.7177, 0.0
R7   , R1206            , 5K42     , 1.8734, 1.7076, 180.0
R8   , R1206            , 5K42     , 2.3477, 1.7069, 180.0
R9   , R1206            , 5K42     , 2.3990, 0.8393, 180.0
R10   , R1206            , 5K42     , 2.8577, 0.8401, 0.0
R11   , R1206            , 5K42     , 2.1073, 1.7066, 180.0
R12   , R1206            , 5K42     , 2.5799, 1.7060, 180.0
R13   , R1206            , 5K420.1%     , 2.6287, 0.8384, 180.0
R14   , R1206            , 5K420.1%     , 3.0810, 0.8435, 180.0
R15   , R0402            , R-US_R0402     , 2.4573, 0.9936, 270.0
R16   , R0402            , 100K0.1%     , 2.5952, 0.9928, 270.0
R17   , R0402            , 100K0.1%     , 2.3306, 0.9917, 270.0
R18   , R0402            , 100K0.1%     , 2.9906, 1.0025, 270.0
R19   , R0402            , 100K0.1%     , 2.2996, 0.7172, 270.0
R20   , R0402            , 100K0.1%     , 2.8506, 0.9965, 270.0
R21   , R0402            , 100K0.1%     , 2.7115, 0.9952, 270.0
R22   , R0402            , 100K0.1%     , 3.1198, 1.0050, 270.0
R23   , R0603            , 51K0.1%     , 0.6719, 0.6748, 270.0
R24   , R0603            , 51K0.1%     , 0.6704, 0.8029, 270.0
R25   , R0603            , 51K0.1%     , 0.7660, 0.6768, 270.0
R26   , R0603            , 51K0.1%     , 0.7675, 0.8020, 270.0
R27   , R0603            , 51K0.1%     , 0.8849, 0.6744, 270.0
R28   , R0603            , 51K0.1%     , 0.8676, 0.8020, 270.0
R29   , R0603            , 51k0.1%     , 1.0815, 0.8034, 270.0
R30   , R0603            , 51k0.1%     , 0.9760, 0.8020, 270.0
R31   , R0402            , 0.1R     , 1.1148, 0.3192, 180.0
R32   , R0402            , 0.1R     , 0.9034, 0.3736, 0.0
R33   , R0402            , 0.1R     , 0.9795, 0.3194, 0.0
R34   , R0402            , 0.1R     , 0.7556, 0.3726, 0.0
R35   , R0805            , 180R     , 2.2640, 1.0940, 90.0
R36   , R0805            , 1K     , 2.1360, 1.0950, 90.0
SJ1   , SJ            , 0R     , 0.4461, 2.2051, 180.0
SJ2   , SJ            , 0R     , 3.1377, 1.7185, 0.0
SJ3   , SJ            , 0R     , 1.0353, 1.3983, 270.0
SJ4   , SJ            , 0R     , 1.7231, 1.3027, 270.0
U1   , LGA-141-LTC-05-08-1840-B            , LTM4609MPV#PBF     , 0.7060, 1.2655, 90.0
U2   , MOLEX-MINI-PCI-EXPRESS-8MM-52CKT            , UCAT-4CU-B-CONTROL-UNITNANO55415     , 1.9001, 2.4866, 270.0
U3   , 20-LEAD-PLASTIC-SO            , LT1161ISW     , 0.6622, 0.5429, 180.0
U4   , 20-LEAD-PLASTIC-SO            , LT1161ISW     , 0.1091, 0.7372, 180.0
