"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"MF";"MPN";"PCBLABEL";"RATING";
"B2";"MCAT-4CU-C-PCB/BPL";"MCAT-4CU-C-PCB/BPL";"MCAT-4CU-C-BPL-V4-BLANK";"";"(c) 2015, The George Washington University. All Rights Reserved.";"";"";"BPL";"";
"CU-V2L1-1:BC3";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"AVX";"0612YC105KAT2A";"";"";
"CU-V2L1-1:BC4";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"AVX";"06123C104KAT2A";"";"";
"CU-V2L1-1:J7";"LATCH_NANO54415_MODULE";"LATCH_NANO54415_MODULE";"LATCH_SD-48099-400";"";"";"MOLEX";"SD-48099-400";"";"";
"CU-V2L1-1:J9";"CONN_NANO54415_MODULE";"CONN_NANO54415_MODULE";"CONN_SD-67910-001";"";"";"MOLEX";"SD-679101-002";"";"";
"CU-V2L1-1:OK1";"PS2801C-4";"PS2801C-4";"SSOP(16PIN)";"";"";"CEL/California Eastern Laboratories";"PS2801C-4-F3-A";"";"";
"CU-V2L1-1:R3";"560R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"PANASONIC";"ERA-6AEB561V";"";"";
"CU-V2L1-1:R4";"1K2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"PANASONIC";"ERA-6AEB122V";"";"";
"CU-V2L1-1:SJ3";"0R";"SJ";"SJ";"SMD solder JUMPER";"";"VISHAY/DALE";"CRCW08050000Z0EA";"";"";
"CU-V2L1-1:SW1";"SPST_TACT-EVQQ2";"SPST_TACT-EVQQ2";"EVQ-Q2";"SMT 6mm switch, EVQQ2 series";"";"PANASONIC";"EVQQ2H02W";"";"";
"CU-V2L1-1:TP1";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"Keystone Electronics";"5015";"";"";
"F1";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";"";
"F2";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";"";
