"Qty";"Value";"Device";"Package";"Parts";"Description";"COPYRIGHT";"MF";"MPN";"PCBLABEL";
"2";"0R";"SJ";"SJ";"PPU-V8C1-2:SJ1, PPU-V8C1-4:SJ1";"SMD solder JUMPER";"";"VISHAY/DALE";"CRCW08050000Z0EA";"";
"2";"15R";"R-US_R1210";"R1210";"PPU-V8C1-2:R1, PPU-V8C1-4:R1";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW121015R0FKEAHP";"";
"2";"1K";"R-US_R0805";"R0805";"PPU-V8C1-2:R2, PPU-V8C1-4:R2";"RESISTOR, American symbol";"";"VISHAY";"PAT0805E1001BST1";"";
"2";"680uF/20WV";"APSG200ELL681MJB5S";"CHEMI-CON-PSG-JB5";"PPU-V8C1-2:C1, PPU-V8C1-4:C1";"";"";"United Chemi-Con";"APSG200ELL681MJB5S";"";
"4";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"PPU-V8C1-2:BC1, PPU-V8C1-2:BC3, PPU-V8C1-4:BC1, PPU-V8C1-4:BC3";"";"";"AVX";"06123C104KAT2A";"";
"4";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"PPU-V8C1-2:BC2, PPU-V8C1-2:BC4, PPU-V8C1-4:BC2, PPU-V8C1-4:BC4";"";"";"AVX";"0612YC105KAT2A";"";
"2";"IXDN604/SI";"IXDN604/SI";"IXYS-SI-8PIN-POWER-SOIC";"PPU-V8C1-2:U$1, PPU-V8C1-4:U$1";"";"";"IXYS";"IXDN604SI ";"";
"2";"IXYH30N120C3D1";"IXYH30N120C3D1/V";"IXYS-TO-247-AD-VERT";"PPU-V8C1-2:Q11, PPU-V8C1-4:Q11";"";"";"IXYS";"IXYH30N120C3D1";"";
"1";"MCAT-4CU-C-PCB/BPR";"MCAT-4CU-C-PCB/BPR";"MCAT-4CU-C-BPR-V4-BLANK";"B1";"";"(c) 2015. The George Washington University";"";"";"BPR";
"2";"MCAT-SPADE-TERMINAL";"MCAT-SPADE-TERMINAL";"SPADE-TERMINAL-FLANGED-NYLON-INSULATED";"PPU-V8C1-2:T1, PPU-V8C1-4:T1";"";"";"HARWIN";"S4011-46";"";
"1";"MOLEX-502598-5193";"MOLEX-502598-5193";"MOLEX-502598-5193";"J4";"MOLEX 0.3MM PITCH FPC CONN MALE 51 CKTS";"";"MOLEX";"502598-5193";"";
"2";"MURATA-5600-CURR-XFR/RA";"MURATA-5600-CURR-XFR/RA";"MURATA-5600-SERIES-CURR-XFR-RA";"PPU-V8C1-2:CT1, PPU-V8C1-4:CT1";"";"";"MURATA";"56050C";"";
"6";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"PPU-V8C1-2:TP1, PPU-V8C1-2:TP2, PPU-V8C1-2:TP3, PPU-V8C1-4:TP1, PPU-V8C1-4:TP2, PPU-V8C1-4:TP3";"";"";"Keystone Electronics";"5015";"";
"2";"PPUV8-INDUCTOR-V2";"PPUV8-INDUCTOR-V2";"PPUV8-INDUCTOR-V2";"PPU-V8C1-2:L1, PPU-V8C1-4:L1";"GWU MpNL Custom Wound Inductor for PPUV8";"";"Magnetics";"59312-A2";"";
"6";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"F1, F2, F3, F4, F5, F7";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";
