"Qty";"Value";"Device";"Package";"Parts";"Description";"COPYRIGHT";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"PCBLABEL";"VENDOR";
"3";"0R";"R-US_R0805";"R0805";"PM-V2L2-1:SJ3, PM-V2L2-1:SJ4, PM-V2L2-1:SJ6";"RESISTOR, American symbol";"";"";"YAGEO";"AF0805JR-070RL";"";"";"";
"1";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"CT-V2L1-1:JMP1";"SMD 0R 0805 Jumper";"";"";"Vishay/Dale";"CRCW08050000Z0EA";"";"";"";
"3";"10k";"R-US_R0402";"R0402";"CT-V2L1-1:R1, CT-V2L1-1:R2, CT-V2L1-1:R3";"RESISTOR, American symbol";"";"";"PANASONIC";"ERA-2AEB103X";"";"";"";
"2";"10n";"C-USC0402";"C0402";"PM-V2L2-1:C8, PM-V2L2-1:C10";"CAPACITOR, American symbol";"";"";"VISHAY/VITRAMON";"VJ0402Y103JXJPW1BC";"";"";"";
"1";"10u";"C-USC1206";"C1206";"PM-V2L2-1:C7";"CAPACITOR, American symbol";"";"";"TDK";"C3216X7R1C106K160AC";"";"";"";
"1";"10u";"C-USC1210";"C1210";"PM-V2L2-1:C6";"CAPACITOR, American symbol";"";"";"AVX";"TCJT106M016R0200";"";"";"";
"2";"10uF";"C-USC1210K";"C1210K";"PM-V2L2-1:C3, PM-V2L2-1:C4";"CAPACITOR, American symbol";"";"";"MURATA";"GRM32ER71H106KA12L";"";"";"";
"1";"10uH";"ELL-5PS100M";"SERIES-POWER-INDUCTORS";"PM-V2L2-1:L3";"";"";"";"PANASONIC";"ELL5PS100M";"1717452";"";"";
"1";"1K";"R-US_R0402";"R0402";"PM-V2L2-1:R2";"RESISTOR, American symbol";"";"";"KOA SPEER";"RN73H1ETTP1001B25";"";"";"";
"2";"1M";"R-US_R0402";"R0402";"PM-V2L2-1:R5, PM-V2L2-1:R6";"RESISTOR, American symbol";"";"";"VISHAY/BEYSCHLAG";"MCS04020C1004FE000";"";"";"";
