Partlist

Exported from MCAT-CANYVAL-BPL-5X.sch at 2/24/2015 10:20:09 AM

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part           Value                     Device                    Package                                Library           Sheet

B2             MCAT-4CU-C-PCB/BPL        MCAT-4CU-C-PCB/BPL        MCAT-4CU-C-BPL-V4-BLANK                gwu_mpnl_ucat_v10 1
CU-V2L1-1:BC3  BYPASS-CAP-1UF            BYPASS-CAP-1UF            0612-REV                               gwu_mpnl_ucat_v10 CU-V2L2:1
CU-V2L1-1:BC4  BYPASS-CAP-0.1UF          BYPASS-CAP-0.1UF          0612-REV                               gwu_mpnl_ucat_v10 CU-V2L2:1
CU-V2L1-1:J9   CONN_NANO54415_MODULE     CONN_NANO54415_MODULE     CONN_SD-67910-001                      gwu_mpnl_ucat_v10 CU-V2L2:1
CU-V2L1-1:OK1  PS2801C-4                 PS2801C-4                 SSOP(16PIN)                            gwu_mpnl_ucat_v10 CU-V2L2:1
CU-V2L1-1:R3   560R                      R-US_R0805                R0805                                  resistor          CU-V2L2:1
CU-V2L1-1:R4   1K2                       R-US_R0805                R0805                                  resistor          CU-V2L2:1
CU-V2L1-1:SJ3  0R                        SJ                        SJ                                     jumper            CU-V2L2:1
CU-V2L1-1:SW1  SPST_TACT-EVQQ2           SPST_TACT-EVQQ2           EVQ-Q2                                 adafruit          CU-V2L2:1
CU-V2L1-1:TP1  PCB-MINI-SMD-TESTPOINT/SQ PCB-MINI-SMD-TESTPOINT/SQ PCB-MINI-SMD-TESTPOINT                 gwu_mpnl_ucat_v10 CU-V2L2:1
J1             MOLEX-502598-5193         MOLEX-502598-5193         MOLEX-502598-5193                      gwu_mpnl_ucat_v10 1
J2             MOLEX-502598-5193         MOLEX-502598-5193         MOLEX-502598-5193                      gwu_mpnl_ucat_v10 1
PD-V2L1-1:BC1  BYPASS-CAP-0.1UF          BYPASS-CAP-0.1UF          0612-REV                               gwu_mpnl_ucat_v10 PD-V2L1:1
PD-V2L1-1:BC2  BYPASS-CAP-1UF            BYPASS-CAP-1UF            0612-REV                               gwu_mpnl_ucat_v10 PD-V2L1:1
PD-V2L1-1:BC3  BYPASS-CAP-1UF            BYPASS-CAP-1UF            0612-REV                               gwu_mpnl_ucat_v10 PD-V2L1:1
PD-V2L1-1:BC4  BYPASS-CAP-0.1UF          BYPASS-CAP-0.1UF          0612-REV                               gwu_mpnl_ucat_v10 PD-V2L1:1
PD-V2L1-1:OK2  PS2801C-4                 PS2801C-4                 SSOP(16PIN)                            gwu_mpnl_ucat_v10 PD-V2L1:1
PD-V2L1-1:OK3  PS2801C-4                 PS2801C-4                 SSOP(16PIN)                            gwu_mpnl_ucat_v10 PD-V2L1:1
PD-V2L1-1:Q1   SI5404BDC                 SI5404BDC                 1206-8-CHIPFET                         gwu_mpnl_ucat_v10 PD-V2L1:1
PD-V2L1-1:Q2   SI5404BDC                 SI5404BDC                 1206-8-CHIPFET                         gwu_mpnl_ucat_v10 PD-V2L1:1
PD-V2L1-1:Q3   SI5404BDC                 SI5404BDC                 1206-8-CHIPFET                         gwu_mpnl_ucat_v10 PD-V2L1:1
PD-V2L1-1:Q4   SI5404BDC                 SI5404BDC                 1206-8-CHIPFET                         gwu_mpnl_ucat_v10 PD-V2L1:1
PD-V2L1-1:Q5   SI5404BDC                 SI5404BDC                 1206-8-CHIPFET                         gwu_mpnl_ucat_v10 PD-V2L1:1
PD-V2L1-1:Q6   SI5404BDC                 SI5404BDC                 1206-8-CHIPFET                         gwu_mpnl_ucat_v10 PD-V2L1:1
PD-V2L1-1:Q7   SI5404BDC                 SI5404BDC                 1206-8-CHIPFET                         gwu_mpnl_ucat_v10 PD-V2L1:1
