Partlist

Exported from MCAT-CANYVAL-TOP-5X.sch at 2/24/2015 10:48:57 AM

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part           Value                       Device                      Package                  Library           Sheet

B8             MCAT-4CU-C-PCB/TOP          MCAT-4CU-C-PCB/TOP          MCAT-4CU-C-TOP-V4-BLANK  gwu_mpnl_ucat_v10 1
CT-V2L1-1:BC3  BYPASS-CAP-1UF              BYPASS-CAP-1UF              0612-REV                 gwu_mpnl_ucat_v10 CT-V2L1:1
CT-V2L1-1:BC4  BYPASS-CAP-0.1UF            BYPASS-CAP-0.1UF            0612-REV                 gwu_mpnl_ucat_v10 CT-V2L1:1
CT-V2L1-1:BC5  BYPASS-CAP-1UF              BYPASS-CAP-1UF              0612-REV                 gwu_mpnl_ucat_v10 CT-V2L1:1
CT-V2L1-1:BC6  BYPASS-CAP-0.1UF            BYPASS-CAP-0.1UF            0612-REV                 gwu_mpnl_ucat_v10 CT-V2L1:1
CT-V2L1-1:J7   MOLEX-78171-5007            MOLEX-78171-5007            MOLEX-78171-5007         gwu_mpnl_ucat_v10 CT-V2L1:1
CT-V2L1-1:JMP1 0R-JUMPA                    0R-JUMPA                    A0R-JMP                  jump-0r-smd       CT-V2L1:1
CT-V2L1-1:R1   10k                         R-US_R0402                  R0402                    resistor          CT-V2L1:1
CT-V2L1-1:R2   10k                         R-US_R0402                  R0402                    resistor          CT-V2L1:1
CT-V2L1-1:R3   10k                         R-US_R0402                  R0402                    resistor          CT-V2L1:1
CT-V2L1-1:U1   PCA9512ADP                  PCA9512ADP                  SOT505-1                 gwu_mpnl_ucat_v10 CT-V2L1:1
GBUS-TOP1:G1   HIROSE-FH40-60S-0.5SV       HIROSE-FH40-60S-0.5SV       HIROSE-FH40-60S-0.5SV    gwu_mpnl_ucat_v10 GBUS-TOP:1
GBUS-TOP1:G2   HIROSE-FH40-60S-0.5SV       HIROSE-FH40-60S-0.5SV       HIROSE-FH40-60S-0.5SV    gwu_mpnl_ucat_v10 GBUS-TOP:1
GBUS-TOP1:H1   H1-H5-INBOARD-CSK-BUS-CONN  H1-H5-INBOARD-CSK-BUS-CONN  CONN-2X26X0.1-HDR        gwu_mpnl_ucat_v10 GBUS-TOP:1
GBUS-TOP1:H2   H2-H6-OUTBOARD-CSK-BUS-CONN H2-H6-OUTBOARD-CSK-BUS-CONN CONN-2X26X0.1-HDR        gwu_mpnl_ucat_v10 GBUS-TOP:1
J2             MOLEX-502598-5193           MOLEX-502598-5193           MOLEX-502598-5193        gwu_mpnl_ucat_v10 1
PM-V2L2-1:BC1  BYPASS-CAP-0.1UF            BYPASS-CAP-0.1UF            0612-REV                 gwu_mpnl_ucat_v10 PM-V2L2:1
PM-V2L2-1:BC2  BYPASS-CAP-1UF              BYPASS-CAP-1UF              0612-REV                 gwu_mpnl_ucat_v10 PM-V2L2:1
PM-V2L2-1:BC3  BYPASS-CAP-0.1UF            BYPASS-CAP-0.1UF            0612-REV                 gwu_mpnl_ucat_v10 PM-V2L2:1
