"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"MF";"MPN";"PCBLABEL";
"B1";"MCAT-4CU-C-PCB/BPR";"MCAT-4CU-C-PCB/BPR";"MCAT-4CU-C-BPR-V4-BLANK";"";"(c) 2015. The George Washington University";"";"";"BPR";
"F1";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";
"F2";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";
"F3";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";
"F4";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";
"F5";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";
"F7";"SMTRAM2-6-5-RA";"SMTRAM2-6-5-RA";"SMTRA-M2-6-5-RA";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"PENNEngineering";"SMTRAM2-6-5ET";"";
"J4";"MOLEX-502598-5193";"MOLEX-502598-5193";"MOLEX-502598-5193";"MOLEX 0.3MM PITCH FPC CONN MALE 51 CKTS";"";"MOLEX";"502598-5193";"";
"PPU-V8C1-2:BC1";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"AVX";"06123C104KAT2A";"";
"PPU-V8C1-2:BC2";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"AVX";"0612YC105KAT2A";"";
"PPU-V8C1-2:BC3";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"AVX";"06123C104KAT2A";"";
"PPU-V8C1-2:BC4";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"AVX";"0612YC105KAT2A";"";
"PPU-V8C1-2:C1";"680uF/20WV";"APSG200ELL681MJB5S";"CHEMI-CON-PSG-JB5";"";"";"United Chemi-Con";"APSG200ELL681MJB5S";"";
"PPU-V8C1-2:CT1";"MURATA-5600-CURR-XFR/RA";"MURATA-5600-CURR-XFR/RA";"MURATA-5600-SERIES-CURR-XFR-RA";"";"";"MURATA";"56050C";"";
"PPU-V8C1-2:L1";"PPUV8-INDUCTOR-V2";"PPUV8-INDUCTOR-V2";"PPUV8-INDUCTOR-V2";"GWU MpNL Custom Wound Inductor for PPUV8";"";"Magnetics";"59312-A2";"";
"PPU-V8C1-2:Q11";"IXYH30N120C3D1";"IXYH30N120C3D1/V";"IXYS-TO-247-AD-VERT";"";"";"IXYS";"IXYH30N120C3D1";"";
"PPU-V8C1-2:R1";"15R";"R-US_R1210";"R1210";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW121015R0FKEAHP";"";
"PPU-V8C1-2:R2";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY";"PAT0805E1001BST1";"";
"PPU-V8C1-2:SJ1";"0R";"SJ";"SJ";"SMD solder JUMPER";"";"VISHAY/DALE";"CRCW08050000Z0EA";"";
"PPU-V8C1-2:T1";"MCAT-SPADE-TERMINAL";"MCAT-SPADE-TERMINAL";"SPADE-TERMINAL-FLANGED-NYLON-INSULATED";"";"";"HARWIN";"S4011-46";"";
"PPU-V8C1-2:TP1";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"Keystone Electronics";"5015";"";
"PPU-V8C1-2:TP2";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"Keystone Electronics";"5015";"";
"PPU-V8C1-2:TP3";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"Keystone Electronics";"5015";"";
"PPU-V8C1-2:U$1";"IXDN604/SI";"IXDN604/SI";"IXYS-SI-8PIN-POWER-SOIC";"";"";"IXYS";"IXDN604SI ";"";
"PPU-V8C1-4:BC1";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"AVX";"06123C104KAT2A";"";
"PPU-V8C1-4:BC2";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"AVX";"0612YC105KAT2A";"";
"PPU-V8C1-4:BC3";"BYPASS-CAP-0.1UF";"BYPASS-CAP-0.1UF";"0612-REV";"";"";"AVX";"06123C104KAT2A";"";
"PPU-V8C1-4:BC4";"BYPASS-CAP-1UF";"BYPASS-CAP-1UF";"0612-REV";"";"";"AVX";"0612YC105KAT2A";"";
"PPU-V8C1-4:C1";"680uF/20WV";"APSG200ELL681MJB5S";"CHEMI-CON-PSG-JB5";"";"";"United Chemi-Con";"APSG200ELL681MJB5S";"";
"PPU-V8C1-4:CT1";"MURATA-5600-CURR-XFR/RA";"MURATA-5600-CURR-XFR/RA";"MURATA-5600-SERIES-CURR-XFR-RA";"";"";"MURATA";"56050C";"";
"PPU-V8C1-4:L1";"PPUV8-INDUCTOR-V2";"PPUV8-INDUCTOR-V2";"PPUV8-INDUCTOR-V2";"GWU MpNL Custom Wound Inductor for PPUV8";"";"Magnetics";"59312-A2";"";
"PPU-V8C1-4:Q11";"IXYH30N120C3D1";"IXYH30N120C3D1/V";"IXYS-TO-247-AD-VERT";"";"";"IXYS";"IXYH30N120C3D1";"";
"PPU-V8C1-4:R1";"15R";"R-US_R1210";"R1210";"RESISTOR, American symbol";"";"VISHAY/DALE";"CRCW121015R0FKEAHP";"";
"PPU-V8C1-4:R2";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"VISHAY";"PAT0805E1001BST1";"";
"PPU-V8C1-4:SJ1";"0R";"SJ";"SJ";"SMD solder JUMPER";"";"VISHAY/DALE";"CRCW08050000Z0EA";"";
"PPU-V8C1-4:T1";"MCAT-SPADE-TERMINAL";"MCAT-SPADE-TERMINAL";"SPADE-TERMINAL-FLANGED-NYLON-INSULATED";"";"";"HARWIN";"S4011-46";"";
"PPU-V8C1-4:TP1";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"Keystone Electronics";"5015";"";
"PPU-V8C1-4:TP2";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"Keystone Electronics";"5015";"";
"PPU-V8C1-4:TP3";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT/SQ";"PCB-MINI-SMD-TESTPOINT";"";"";"Keystone Electronics";"5015";"";
"PPU-V8C1-4:U$1";"IXDN604/SI";"IXDN604/SI";"IXYS-SI-8PIN-POWER-SOIC";"";"";"IXYS";"IXDN604SI ";"";
